"","deploy_id","rw","rr","art","rotationRange","enoughRotation"
"73",180,0.429177756534322,0.435475964831407,FALSE,210.500255463005,TRUE
"74",181,0.224008530381892,0.223513744630622,FALSE,255.06036647367,TRUE
"75",182,0.931709421045892,0.923690195910991,FALSE,149.727064746497,TRUE
"76",183,0.326350372718761,0.326969610353091,FALSE,245.590560551574,TRUE
"77",184,0.502343276575589,0.506879017482127,FALSE,92.8111288480409,TRUE
"78",186,0.166871341027132,0.172657251569486,FALSE,61.3796998918452,TRUE
"79",189,0.280010619078496,0.358699792650435,FALSE,234.860190851608,TRUE
"80",192,0.0772239764143447,0.110435915029051,FALSE,234.019420119283,TRUE
"81",193,0.167944852314892,0.164846619756153,FALSE,244.930107618491,TRUE
"82",195,0.442114745058728,0.457558329035808,FALSE,240.430320062057,TRUE
"83",198,0.570517468297904,0.564928599236811,FALSE,101.339096054549,TRUE
"84",199,0.485986667148288,0.489556460827606,FALSE,438.238269327296,TRUE
"85",201,0.394366342465595,0.394796579778324,FALSE,372.35451538703,TRUE
"86",202,0.101893127728433,0.0926787041147919,TRUE,44.2991859725159,TRUE
"87",204,0.1926903976427,0.20355078458576,FALSE,169.900516393886,TRUE
"88",205,0.663044450462962,0.668952742559037,FALSE,150.435412851885,TRUE
"89",206,0.717876578121112,0.729453870265802,FALSE,218.50198814967,TRUE
"90",207,0.465926342445586,0.49342996534498,FALSE,181.673953131343,TRUE
"91",208,0.57119127792544,0.610173406431631,FALSE,176.241152084293,TRUE
"92",209,0.21678038397702,0.23309423055882,FALSE,145.72246462835,TRUE
"93",210,0.270856952591976,0.25593430560708,TRUE,186.230546232553,TRUE
"94",211,0.478189703116356,0.178677999961402,TRUE,180.512671700426,TRUE
"95",212,0.973703242683443,0.963679127865515,FALSE,88.0209052104142,TRUE
"96",214,0.820704155161379,0.851094778477729,FALSE,71.1425328662824,TRUE
"97",215,0.846218071975963,0.860916005862616,FALSE,110.01022680213,TRUE
"98",216,0.962024294299711,0.972711172613422,FALSE,50.70425029097,TRUE
"99",217,0.491399140630281,0.481027275093937,FALSE,236.684308746258,TRUE
"100",218,0.88453512369098,0.868087442109789,FALSE,1.09318530717958,FALSE
"101",223,0.971341515204813,0.973051999243768,FALSE,35.4666003704598,TRUE
"102",227,0.968570511130939,0.974027400547186,FALSE,159.060138791151,TRUE
"103",228,0.28192487096018,0.273828990185494,FALSE,135.420692273932,TRUE
"104",229,0.352685684388649,0.351547452975633,FALSE,173.663369994565,TRUE
