deploy_id,leg,date_start,date_stop,time_start,time_stop,moonAlt,moonAz,moonHor,disc_id,depth (m),fish_vial,fish_age (dph),bin_id,batch_id,fish_id,lat_start,lon_start,lat_stop,lon_stop,sky,sea,wind_dir,wind_speed,tide,location,Location_Conservative,start_wp,end_wp,drift_direction,drift_distance,In_Behavior,Out_Behavior,cam_OK,comments,larvae_ok,Success,status,tracking_notes,,
359,2016-08-18-1,8/18/2016,8/18/2016,10:02:00,10:22:00,-61,279,FALSE,B,18,31,6,17,76,359,16'48.668,88'04.467,16'48.556,88'04.480,clear,3,80,3,ebb,near,near,332,333,186,216,5,5,y,larva 958, drop 1002,,,,,
360,2016-08-18-1,8/18/2016,8/18/2016,10:48:00,11:08:00,-71,288,FALSE,A,18,3,6,17,76,360,16'48.395,88'04.449,16'48.300,88'04.443,clear,3,90,3,ebb,near,near,334,335,177,179,5,5,y,larva 1038, drop 1048,,,,,
361,2016-08-18-1,8/18/2016,8/18/2016,10:48:00,11:08:00,-71,288,FALSE,B,18,60,6,17,76,361,16'48.395,88'04.449,16'48.300,88'04.443,clear,3,90,3,ebb,near,near,334,335,177,179,5,5,y,larva 1046, drop 1048,,,,,
362,2016-08-18-1,8/18/2016,8/18/2016,11:37:00,11:57:00,-81,318,FALSE,A,18,5,6,17,76,362,16'48.126,88'04.429,16'47.991,88'04.430,mixed,3,90,3,ebb,near,near,336,337,180,251,5,5,y,larva 1134, drop 1137,,,,,
363,2016-08-18-1,8/18/2016,8/18/2016,11:37:00,11:57:00,-81,318,FALSE,B,18,7,6,17,76,363,16'48.126,88'04.429,16'47.991,88'04.430,mixed,3,90,3,ebb,near,near,336,337,280,251,5,5,y,larva 1127, drop 1137,,,,,
364,2016-08-18-2,8/18/2016,8/18/2016,13:24:00,13:44:00,-70,72,FALSE,A,18,6,4,20,80,364,16'48.891,88'04.453,16'48.787,88'04.474,mixed,2,90,3,ebb,near,near,338,339,189,195,5,5,y,larva 1317, drop 1324,,,,,
365,2016-08-18-2,8/18/2016,8/18/2016,13:24:00,13:44:00,-70,72,FALSE,B,18,17,4,20,80,365,16'48.891,88'04.453,16'48.787,88'04.474,mixed,2,90,3,ebb,near,near,338,339,189,195,5,5,y,larva 1321, drop 1324,,,,,
366,2016-08-18-2,8/18/2016,8/18/2016,14:12:00,14:32:00,-59,81,FALSE,A,18,4,4,20,80,366,16'48.613,88'04.478,16'48.516,88'04.487,mixed,2,90,3,ebb,near,near,340,341,185,184,5,5,y,,,,,,,
367,2016-08-18-2,8/18/2016,8/18/2016,14:12:00,14:32:00,-59,81,FALSE,B,18,5,4,20,80,367,16'48.613,88'04.478,16'48.516,88'04.487,mixed,2,90,3,ebb,near,near,340,341,185,184,5,4,y,,,,,,,
368,8/19/2016,8/19/2016,8/19/2016,9:30:00,9:50:00,-41,276,FALSE,A,18,4,6,21,78,x,16'49.096,88'04.456,16'49.035,88'04.462,mixed,3,70,2,ebb,near,near,3411,342,186,112,3,4,5,5,5,4,4,2,y,pics
369,8/19/2016,8/19/2016,8/19/2016,9:30:00,9:50:00,-41,276,FALSE,B,18,21,6,21,78,x,16'49.096,88'04.456,16'49.035,88'04.462,mixed,3,70,2,ebb,near,near,3411,342,186,112,3,3,4,5,5,4,4,2,y,pics
370,8/19/2016,8/19/2016,8/19/2016,10:30:00,10:50:00,-55,283,FALSE,B,18,6,6,21,78,x,16'48.896,88'04.503,16'48.845,88'04.516,cloudy,2,70,2,ebb,near,near,343,344,191,100,5,5,5,4,5,5,5,4,y,video
371,8/19/2016,8/19/2016,8/19/2016,10:30:00,10:50:00,-55,283,FALSE,A,18,2,6,21,78,x,16'48.896,88'04.503,16'48.845,88'04.516,cloudy,2,70,2,ebb,near,near,343,344,191,100,5,5,4,2,5,5,4,2,y,video
