"","trackNb","rotation","n","mean","se.mean","kappa","se.kappa","variance","r","p.value","signif","dir.n","dir.mean","dir.se.mean","dir.kappa","dir.se.kappa","dir.variance","dir.r","dir.p.value","dir.signif","turn.n","turn.abs.mean","turn.freq.gt45","speed.n","speed.mean","speed.sd","speed.median","speed.mad","bin.angle","deploy_id","fileName"
"42",1,"rotated",666,170.049418130557,13.5606427679439,0.232314862307796,0.0553543042451015,0.884619107716013,0.115380892283987,0.000141064728911856,TRUE,661,130.965887477108,58.6748049836481,0.0537234090848237,0.0550363002324527,0.973147981841375,0.0268520181586248,0.620889959796595,FALSE,656,40.9395074474082,0.371951219512195,661,0.817154251790408,0.342446064752591,0.781135076682439,0.311411857394811,0,156,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/156/stats.csv"
"44",1,"rotated",643,68.3206169650117,14.99171708152,0.213754420494091,0.0562490072736348,0.893728532500499,0.106271467499501,0.000701843053608832,TRUE,621,217.084686264977,62.4919838128459,0.0520404457471825,0.0567792529013432,0.973988581671133,0.0260114183288667,0.656938546343236,FALSE,601,41.4570538250672,0.369384359400998,621,1.11610122221501,0.43036334409849,1.07197186848417,0.404198853701168,0,158,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/158/stats.csv"
"46",1,"rotated",668,270.748546414416,49.5546237338753,0.0632810776498743,0.0547586503753298,0.968375288645858,0.0316247113541419,0.512691108942887,FALSE,664,183.531728131777,217.453995669664,0.0144607851732833,0.0548842818661499,0.992769796404089,0.00723020359591121,0.965884361583015,FALSE,660,51.9994311384814,0.457575757575758,664,0.682333612008734,0.303752985998032,0.654547542879872,0.294744662731148,0,160,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/160/stats.csv"
"48",1,"rotated",669,76.0637086899514,8.88047151209775,0.355528993374205,0.0559730382004094,0.824984329236338,0.175015670763662,1.26045323089874e-09,TRUE,664,356.738420532497,54.0989858689099,0.0581374766503276,0.0549169116044125,0.970943536172566,0.0290564638274341,0.570866069081039,FALSE,660,36.7140769635257,0.307575757575758,664,0.848908689158319,0.331166224377353,0.838616516513259,0.361678702449443,0,162,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/162/stats.csv"
"50",1,"rotated",623,274.135730027774,4.60538982723422,0.727352112167387,0.0622875767121407,0.658227838439093,0.341772161560907,2.48732512329467e-32,TRUE,616,59.5627697355779,41.9162077581217,0.0779165964152728,0.0570451509250329,0.961071236314728,0.0389287636852716,0.393168752535883,FALSE,609,36.448952573642,0.264367816091954,616,0.83537337851781,0.54351819609963,0.757408453807635,0.532627126563913,0,164,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/164/stats.csv"
"52",1,"rotated",672,61.0280360361296,22.7073160529148,0.137816659127582,0.0547487683853381,0.931254752071068,0.0687452479289322,0.0417602259889938,TRUE,669,267.240750717837,185.340228889033,0.0169029548433724,0.054679584245672,0.991548824397768,0.00845117560223194,0.953342007691182,FALSE,666,42.2390105283647,0.361861861861862,669,0.460549521434302,0.19717492851969,0.453836296705131,0.202660367677946,0,166,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/166/stats.csv"
"54",1,"rotated",602,298.68451162171,11.5446014046557,0.287531464812855,0.0585327771184963,0.85769933686968,0.14230066313032,5.08006656124722e-06,TRUE,595,182.929763138891,42.5467117364698,0.0781049622108177,0.058043420464935,0.96097726799101,0.0390227320089902,0.40411721781414,FALSE,588,40.5699308925653,0.358843537414966,595,0.707587763208952,0.307117602872375,0.682856067126333,0.259395874051713,0,169,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/169/stats.csv"
"56",1,"rotated",505,280.585966757967,11.4865381629328,0.315851447621399,0.0641092298255183,0.844010580587056,0.155989419412944,4.60663464609262e-06,TRUE,485,74.7327864244429,30.410318081923,0.121099751880594,0.0643927149351496,0.939560848906707,0.0604391510932929,0.170051809318356,FALSE,466,45.0906745441041,0.324034334763948,485,0.875109180207101,0.690039837212525,0.707225874352214,0.743286237654687,0,170,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/170/stats.csv"
"58",1,"rotated",478,284.887020655271,4.37799766167251,0.885853705018597,0.0742194740425601,0.594868141948051,0.405131858051949,8.46099808381012e-35,TRUE,395,253.12209348633,371.077133976214,0.010986975733609,0.0711584172465657,0.994506595023889,0.00549340497611059,0.988150651284177,FALSE,336,59.5078577253857,0.529761904761905,395,0.780865271642953,0.395191584138777,0.741913122178619,0.36123965367438,0,172,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/172/stats.csv"
"60",1,"rotated",650,150.650035684533,1.64282007150248,2.4603116135047,0.117034035269964,0.238623904834373,0.761376095165627,2.2776457933486e-164,TRUE,641,145.069712966485,31.1070688967888,0.102952502123678,0.0559690911496582,0.948591829301468,0.0514081706985318,0.183776522836347,FALSE,633,46.2298238391022,0.37914691943128,641,0.637067664352728,0.428156758673226,0.546655254958732,0.341424753587107,0,174,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/174/stats.csv"
"62",1,"rotated",378,57.5975058610843,4.24647205198933,1.04342771351271,0.087618653662207,0.536843292331248,0.463156707668752,6.09043795695758e-36,TRUE,372,338.163657063569,10.6070368052139,0.399985041322089,0.0755242365399159,0.803898909486292,0.196101090513708,6.12634562580627e-07,TRUE,366,68.8957343319901,0.568306010928962,372,0.223050100322482,0.219425354037015,0.143804468478053,0.129963426759152,0,176,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/176/stats.csv"
