FID,lon,lat
98106,-86.47547,15.95211
98106,-86.4744,15.95262
98106,-86.4744,15.95262
98106,-86.47413,15.9521
98106,-86.47413,15.9521
98106,-86.4744,15.9521
98106,-86.4744,15.9521
98106,-86.4744,15.95133
98106,-86.4744,15.95133
98106,-86.47547,15.95108
98112,-86.46159,15.9607
98112,-86.46186,15.9607
98112,-86.46186,15.9607
98112,-86.46213,15.96134
98112,-86.46213,15.96134
98112,-86.46026,15.96186
98112,-86.46026,15.96186
98112,-86.46159,15.9607
98119,-86.99797,16.08466
98119,-86.9985,16.08466
98119,-86.9985,16.08466
98119,-86.9985,16.08518
98119,-86.9985,16.08518
98119,-86.99797,16.08518
98119,-86.99797,16.08518
98119,-86.99797,16.08466
98123,-86.468,15.95389
98123,-86.46773,15.95518
98123,-86.46773,15.95518
98123,-86.46534,15.95595
98123,-86.46534,15.95595
98123,-86.46534,15.95569
98123,-86.46534,15.95569
98123,-86.4656,15.95569
98123,-86.4656,15.95569
98123,-86.4656,15.95517
98123,-86.4656,15.95517
98123,-86.468,15.95389
98124,-86.47003,15.97887
98124,-86.46968,15.97908
98124,-86.46968,15.97908
98124,-86.46934,15.97914
98124,-86.46934,15.97914
98124,-86.4695,15.97793
98124,-86.4695,15.97793
98124,-86.46888,15.97698
98124,-86.46888,15.97698
98124,-86.46837,15.97663
98124,-86.46837,15.97663
98124,-86.46831,15.97621
98124,-86.46831,15.97621
98124,-86.46837,15.97601
98124,-86.46837,15.97601
98124,-86.46867,15.97596
98124,-86.46867,15.97596
98124,-86.46893,15.97551
98124,-86.46893,15.97551
98124,-86.46929,15.97488
98124,-86.46929,15.97488
98124,-86.47002,15.97418
98124,-86.47002,15.97418
98124,-86.47029,15.97345
98124,-86.47029,15.97345
98124,-86.47022,15.97332
98124,-86.47022,15.97332
98124,-86.47034,15.97299
98124,-86.47034,15.97299
98124,-86.47056,15.97271
98124,-86.47056,15.97271
98124,-86.47089,15.97262
98124,-86.47089,15.97262
98124,-86.47116,15.97239
98124,-86.47116,15.97239
98124,-86.47121,15.97195
98124,-86.47121,15.97195
98124,-86.47149,15.97184
98124,-86.47149,15.97184
98124,-86.47168,15.97143
98124,-86.47168,15.97143
98124,-86.47204,15.97107
98124,-86.47204,15.97107
98124,-86.47229,15.9701
98124,-86.47229,15.9701
98124,-86.47212,15.9693
98124,-86.47212,15.9693
98124,-86.47212,15.96895
98124,-86.47212,15.96895
98124,-86.47232,15.96847
98124,-86.47232,15.96847
98124,-86.47263,15.96782
98124,-86.47263,15.96782
98124,-86.47258,15.96754
98124,-86.47258,15.96754
98124,-86.4723,15.9674
98124,-86.4723,15.9674
98124,-86.47224,15.96717
98124,-86.47224,15.96717
98124,-86.47271,15.96675
98124,-86.47271,15.96675
98124,-86.47303,15.96627
98124,-86.47303,15.96627
98124,-86.47308,15.96578
98124,-86.47308,15.96578
98124,-86.47348,15.96513
98124,-86.47348,15.96513
98124,-86.47408,15.96495
98124,-86.47408,15.96495
98124,-86.47465,15.96474
98124,-86.47465,15.96474
98124,-86.47527,15.9645
98124,-86.47527,15.9645
98124,-86.47587,15.9644
98124,-86.47587,15.9644
98124,-86.47637,15.96465
98124,-86.47637,15.96465
98124,-86.47654,15.96497
98124,-86.47654,15.96497
98124,-86.47642,15.96515
98124,-86.47642,15.96515
98124,-86.47643,15.96562
98124,-86.47643,15.96562
98124,-86.47728,15.96655
98124,-86.47728,15.96655
98124,-86.47761,15.96644
98124,-86.47761,15.96644
98124,-86.47772,15.96662
98124,-86.47772,15.96662
98124,-86.47764,15.96676
98124,-86.47764,15.96676
98124,-86.47777,15.96704
98124,-86.47777,15.96704
98124,-86.47842,15.96742
98124,-86.47842,15.96742
98124,-86.47901,15.96758
98124,-86.47901,15.96758
98124,-86.47948,15.96729
98124,-86.47948,15.96729
98124,-86.47991,15.96688
98124,-86.47991,15.96688
98124,-86.47991,15.96722
98124,-86.47991,15.96722
98124,-86.48033,15.96725
98124,-86.48033,15.96725
98124,-86.4803,15.96752
98124,-86.4803,15.96752
98124,-86.47968,15.9679
98124,-86.47968,15.9679
98124,-86.4792,15.9685
98124,-86.4792,15.9685
98124,-86.47908,15.96977
98124,-86.47908,15.96977
98124,-86.4791,15.97018
98124,-86.4791,15.97018
98124,-86.47938,15.97052
98124,-86.47938,15.97052
98124,-86.47931,15.97076
98124,-86.47931,15.97076
98124,-86.47899,15.97118
98124,-86.47899,15.97118
98124,-86.47881,15.97126
98124,-86.47881,15.97126
98124,-86.47881,15.97169
98124,-86.47881,15.97169
98124,-86.47888,15.9718
98124,-86.47888,15.9718
98124,-86.47847,15.9722
98124,-86.47847,15.9722
98124,-86.47853,15.97283
98124,-86.47853,15.97283
98124,-86.47864,15.97308
98124,-86.47864,15.97308
98124,-86.47893,15.97352
98124,-86.47893,15.97352
98124,-86.47931,15.97399
98124,-86.47931,15.97399
98124,-86.47978,15.97447
98124,-86.47978,15.97447
98124,-86.48,15.97456
98124,-86.48,15.97456
98124,-86.48031,15.97456
98124,-86.48031,15.97456
98124,-86.48042,15.97434
98124,-86.48042,15.97434
98124,-86.48099,15.97406
98124,-86.48099,15.97406
98124,-86.48123,15.97439
98124,-86.48123,15.97439
98124,-86.48169,15.97462
98124,-86.48169,15.97462
98124,-86.48238,15.97432
98124,-86.48238,15.97432
98124,-86.48242,15.97405
98124,-86.48242,15.97405
98124,-86.48283,15.97387
98124,-86.48283,15.97387
98124,-86.48333,15.97417
98124,-86.48333,15.97417
98124,-86.48364,15.9742
98124,-86.48364,15.9742
98124,-86.48384,15.97403
98124,-86.48384,15.97403
98124,-86.48511,15.97403
98124,-86.48511,15.97403
98124,-86.48539,15.97444
98124,-86.48539,15.97444
98124,-86.48533,15.97458
98124,-86.48533,15.97458
98124,-86.48541,15.97471
98124,-86.48541,15.97471
98124,-86.48559,15.97482
98124,-86.48559,15.97482
98124,-86.48574,15.97479
98124,-86.48574,15.97479
98124,-86.48598,15.97492
98124,-86.48598,15.97492
98124,-86.48608,15.97525
98124,-86.48608,15.97525
98124,-86.48579,15.97583
98124,-86.48579,15.97583
98124,-86.48486,15.97679
98124,-86.48486,15.97679
98124,-86.48239,15.97739
98124,-86.48239,15.97739
98124,-86.48062,15.97765
98124,-86.48062,15.97765
98124,-86.47899,15.97762
98124,-86.47899,15.97762
98124,-86.47753,15.97788
98124,-86.47753,15.97788
98124,-86.47699,15.97994
98124,-86.47699,15.97994
98124,-86.47699,15.98072
98124,-86.47699,15.98072
98124,-86.47751,15.98103
98124,-86.47751,15.98103
98124,-86.47754,15.98153
98124,-86.47754,15.98153
98124,-86.47712,15.98199
98124,-86.47712,15.98199
98124,-86.47697,15.98167
98124,-86.47697,15.98167
98124,-86.47666,15.98156
98124,-86.47666,15.98156
98124,-86.47642,15.98125
98124,-86.47642,15.98125
98124,-86.47608,15.9808
98124,-86.47608,15.9808
98124,-86.47535,15.98024
98124,-86.47535,15.98024
98124,-86.47445,15.98085
98124,-86.47445,15.98085
98124,-86.47411,15.98053
98124,-86.47411,15.98053
98124,-86.47382,15.98071
98124,-86.47382,15.98071
98124,-86.47306,15.98013
98124,-86.47306,15.98013
98124,-86.47222,15.9799
98124,-86.47222,15.9799
98124,-86.4712,15.9798
98124,-86.4712,15.9798
98124,-86.47082,15.97986
98124,-86.47082,15.97986
98124,-86.47041,15.97963
98124,-86.47041,15.97963
98124,-86.47003,15.97887
98127,-86.47948,15.94413
98127,-86.47948,15.94464
98127,-86.47948,15.94464
98127,-86.47895,15.94464
98127,-86.47895,15.94464
98127,-86.47868,15.94567
98127,-86.47868,15.94567
98127,-86.47815,15.94567
98127,-86.47815,15.94567
98127,-86.47815,15.94516
98127,-86.47815,15.94516
