"","deploy_id","leg","date_start","date_stop","time_start","time_stop","disc_id","depth..m.","fish_vial","bin_id","batch_id","fish_age..dph.","lat_start","lon_start","lat_stop","lon_stop","sky","sea","wind_dir","wind_speed","tide","location","start_wp","end_wp","drift_direction","drift_distance","In_Behavior","Out_Behavior","n","mean","se.mean","kappa","se.kappa","variance","r","p.value","signif","turn.n","turn.abs.mean","turn.freq.gt45","speed.n","speed.mean","speed.sd","speed.median","meanTemp","maxTemp","minTemp","meanLight","maxLight","minLight","rotationRange","art","current_strength","current_bearing","wind_bearing","zenith","azimuth","azmean","lat","lon","tran_lat","tran_lon","tran_ang","tran_bearing","lab_lat","lab_lon","lab_ang","lab_bearing","moonAlt","moonAz","moonHor","moon_bearing"
"103","159","7/3/2016","7/3/2016","7/3/2016","9:47:00","10:07:00","B","18",5,"2","28",28,16.8178166666667,-88.0732333333333,16.8214166666667,-88.0731833333333,"mixed","3",80,3,"ebb","near","123","x",2,71,"5","5",257,53.7446808013709,4.74111127743327,1.14617793006759,0.109990741370549,0.501617841209469,0.498382158790531,1.891736367452e-28,TRUE,235,44.3105513494641,0.365957446808511,246,1.10168471547317,0.858106565550764,0.951182711166867,85.374,85.374,85.374,909.511111111111,1344,576,83.5337412287183,FALSE,4.73333333333333,51.7446808013709,-26.2553191986291,28.723920777419,73.0308325506825,19.2861517493116,16.8196166666667,-88.0732083333333,16.8175333,-88.0766,238.439239452484,184.694558651113,16.8154833,-88.0816,243.777166648804,190.032485847434,72,82,TRUE,-28.2553191986291
"104","161","7/3/2016","7/3/2016","7/3/2016","10:29:00","10:49:00","B","18",11,"2","28",28,16.8214166666667,-88.0731833333333,16.8231166666667,-88.07295,"mixed","3",80,3,"ebb","near","124","x",18,11,"5","5",628,150.829353857189,2.0263582716527,1.88021532627789,0.0936818298283578,0.321568519944548,0.678431480055452,2.93473802826471e-126,TRUE,597,57.5964316358359,0.438860971524288,610,0.628689327600972,0.459130427702102,0.569589574865486,85.55,85.554,85.374,1093.33333333333,1664,448,277.221208282934,FALSE,0.733333333333333,132.829353857189,70.829353857189,19.2092694220845,68.6366302229456,-82.1927236342434,16.8222666666667,-88.0730666666667,16.8175333,-88.0766,216.74036860204,65.9110147448509,16.8154833,-88.0816,231.51790625574,80.6885523985508,82,78,TRUE,72.829353857189
"105","163","7/3/2016","7/3/2016","7/3/2016","11:37:00","11:57:00","B","18",43,"2","28",28,16.8189333333333,-88.0718333333333,16.82095,-88.0715166666667,"mixed","3",90,3,"ebb","near","126","x",13,70,"3","1",794,229.870086823828,1.83610240184257,1.8342890479619,0.0817437189354839,0.330007727861838,0.669992272138162,1.61981428298541e-155,TRUE,794,82.5911839827244,0.668765743073048,794,0.5553704760492,0.437580386897476,0.466222183283313,85.554,85.554,85.554,1455.28888888889,2048,992,94.8969577767783,FALSE,4.66666666666667,216.870086823828,139.870086823828,6.42129487361666,20.359092100356,-209.510994723472,16.8199416666667,-88.071675,16.8175333,-88.0766,243.940975599869,14.0708887760405,16.8154833,-88.0816,245.810111662237,15.9400248384094,82,283,TRUE,-53.129913176172
"106","167","7/4/2016","7/4/2016","7/4/2016","13:59:00","14:19:00","B","18",3,"18","43",10,16.8182333333333,-88.0737,16.8188,-88.0748166666667,"cloudy","3",80,2,"ebb","near","1281","x",257,66,"5","5",508,131.869244190851,12.7765944340062,0.282776438207085,0.0636865752890377,0.860006008770902,0.139993991229098,4.74447192104134e-05,FALSE,479,49.267709264265,0.438413361169102,493,0.964327750024266,0.457180132454468,0.93199421231142,85.222,85.374,85.194,345.066666666667,368,320,158.070519408274,TRUE,4.4,-125.130755809149,51.869244190851,31.5717318805173,286.181717493909,154.312473303058,16.8185166666667,-88.0742583333333,16.8175333,-88.0766,247.220367526452,115.351123335601,16.8154833,-88.0816,247.550985919627,115.681741728776,63,276,TRUE,-144.130755809149
"107","171","2016-07-05-1","7/5/2016","7/5/2016","10:55:00","11:15:00","B","18",3,"19","35",26,16.8182,NA,16.8192333333333,-88.0736833333333,"clear","4",65,3,"ebb","near","1301","x",324,133,"5","5",741,206.388223486192,2.28161691078675,1.45512986148383,0.0726001743605541,0.413502152013611,0.586497847986389,2.00966609036422e-111,TRUE,737,49.769730936652,0.466757123473541,739,0.784531481443684,0.340101692169603,0.747681259254991,85.554,85.554,85.554,1159.82222222222,1728,864,142.75984174236,FALSE,8.86666666666667,-117.611776513808,141.388223486192,13.5423668149328,62.5147683736105,-143.873455112581,16.8187166666667,-88.0736833333333,16.8175333,-88.0766,247.916340361864,41.528116875672,16.8154833,-88.0816,247.783654992398,41.3954315062055,61,86,TRUE,120.388223486192
"108","173","2016-07-05-1","7/5/2016","7/5/2016","11:39:00","11:59:00","B","18",4,"19","35",26,16.8192333333333,-88.0736833333333,NA,NA,"clear","4",110,3,"ebb","near","131","x",309,105,"5","5",364,81.4411306179343,4.72925621779009,0.945173048730603,0.0865650542442392,0.572445654241549,0.427554345758451,1.26462816065375e-29,TRUE,291,53.8177398559858,0.487972508591065,325,1.04203111907234,0.513230303760968,1.00688634070374,85.6847222222222,85.735,85.554,1217.42222222222,1920,512,116.181586193462,FALSE,7,-227.558869382066,-28.5588693820657,6.10566917508261,17.6972550743469,-63.7438755435874,16.8192333333333,-88.0736833333333,16.8175333,-88.0766,239.763435046967,158.322304429033,16.8154833,-88.0816,244.653627023098,163.212496405164,72,89,TRUE,-7.55886938206569
"109","175","2016-07-05-2","7/5/2016","7/5/2016","14:21:00","14:41:00","B","18",7,"16","33",28,16.8202666666667,-88.0720166666667,16.8209333333333,-88.07455,"mixed","2",60,2,"ebb","near","133","x",358,75,"5","5",735,329.625416152827,4.34627262467959,0.708485855011844,0.0570802376668281,0.666099579377315,0.333900420622685,2.58128552968966e-36,TRUE,729,47.1132573987648,0.42798353909465,732,1.09869875451445,0.515812631897957,1.05237777096034,85.376,85.554,85.374,741.866666666667,1216,336,547.505365133718,FALSE,5,-28.374583847173,269.625416152827,36.5916308133304,285.467695383917,-44.1577207689096,16.8206,-88.0732833333333,16.8175333,-88.0766,227.242503348246,-102.382912804581,16.8154833,-88.0816,238.39873794038,-91.2266782124468,71,271,TRUE,58.625416152827
"110","177","2016-07-05-2","7/5/2016","7/5/2016","15:07:00","15:27:00","B","18",9,"2","28",30,16.8209333333333,-88.07455,NA,NA,"mixed","2",70,2,"ebb","near","134","x",79,32,"5","5",714,332.896631630046,8.27858633699621,0.369389253681538,0.0542802688516163,0.818382999932038,0.181617000067962,5.91407697672513e-11,FALSE,704,43.4185724261044,0.383522727272727,708,0.715221973102022,0.375486647801797,0.669917708245442,85.356,85.374,85.194,660,864,248,273.288463336835,TRUE,2.13333333333333,253.896631630046,262.896631630046,47.2039769240788,285.512654125852,-47.3839775041936,16.8209333333333,-88.07455,16.8175333,-88.0766,211.08725693751,-121.809374692536,16.8154833,-88.0816,232.294026741394,-100.602604888652,60,273,TRUE,59.896631630046
"111","179","7/7/2016","7/7/2016","7/7/2016","14:15:00","14:35:00","B","18",1,"5","37",16,16.8179166666667,-88.0725833333333,16.8180166666667,-88.0728833333333,"cloudy","3",60,3,"ebb","near","141","142",272,64,"5","5",672,342.833048535441,12.1597694738412,0.258121200304896,0.0552361462347011,0.872002236198814,0.127997763801186,1.65410844436442e-05,FALSE,668,55.1611061355591,0.495508982035928,670,0.575840972542228,0.279288383566114,0.550330484029809,85.306,85.374,85.194,520.533333333333,672,432,164.452087168304,TRUE,4.26666666666667,70.833048535441,282.833048535441,35.1227448364948,285.178684640982,-57.6543638944587,16.8179666666667,-88.0727333333333,16.8175333,-88.0766,263.6051144327,-79.2279341027412,16.8154833,-88.0816,254.353559126738,-88.4794894087026,81,136,TRUE,206.833048535441
"112","182","7/7/2016","7/7/2016","7/7/2016","15:50:00","16:10:00","B","18",8,"19","35",28,16.81745,-88.0737,16.8166,-88.0742666666667,"cloudy","3",60,3,"ebb","near","145","146",209,137,"5","4",674,233.106618418308,0.878509200215639,6.8328387645235,0.35519649983263,0.076309804089009,0.923690195910991,1.79869546705581e-250,TRUE,674,76.4580527947072,0.605341246290801,674,0.195538357269007,0.183082713512334,0.134371313724209,85.194,85.194,85.194,417.6,496,304,149.727064746497,FALSE,9.13333333333333,24.106618418308,173.106618418308,57.0478124464056,286.143059850125,53.0364414318174,16.817025,-88.0739833333333,16.8175333,-88.0766,280.993069242917,47.8864508246091,16.8154833,-88.0816,258.55728144213,25.4506630238223,71,251,TRUE,-17.893381581692
